Ranking,NPSN,Sekolah,Provinsi,Kab Kota,Jenis
836,20321429,SMA NEGERI 1 CANDIROTO,JAWA TENGAH,KAB. TEMANGGUNG,SMA
837,20216938,SMAN 1 SUBANG,JAWA BARAT,KAB. SUBANG,SMA
838,20525855,SMAN 1 GIRI,JAWA TIMUR,KAB. BANYUWANGI,SMA
839,20102580,SMK NEGERI 41 JAKARTA,DKI JAKARTA,KOTA JAKARTA SELATAN,SMK
840,20321974,SMAN 1 BOJA,JAWA TENGAH,KAB. KENDAL,SMA
841,10508041,MAN 1 KOTA LUBUK LINGGAU,SUMATERA SELATAN,KOTA LUBUK LINGGAU,MA
842,50103122,SMAN 5 DENPASAR,BALI,KOTA DENPASAR,SMA
843,60725005,MAN 12 JAKARTA,DKI JAKARTA,KOTA JAKARTA BARAT,MA
844,40306507,SMAS KRISTEN BARANA,SULAWESI SELATAN,KAB. TORAJA UTARA,SMA
845,69954194,SMA ISLAM AL - AZHAR 18 GRAND WISATA,JAWA BARAT,KAB. BEKASI,SMA
846,20103230,SMAS ISLAM PB SOEDIRMAN,DKI JAKARTA,KOTA JAKARTA TIMUR,SMA
847,20362931,MAN 1 JEPARA,JAWA TENGAH,KAB. JEPARA,MA
848,20270776,SMAN 2 GUNUNG PUTRI,JAWA BARAT,KAB. BOGOR,SMA
849,20580038,MAN KOTA BATU,JAWA TIMUR,KOTA BATU,MA
850,20308441,SMAN 1 TERAS,JAWA TENGAH,KAB. BOYOLALI,SMA
851,20219146,SMKN 2 BANDUNG,JAWA BARAT,KOTA BANDUNG,SMK
852,20584211,MAN 1 MALANG,JAWA TIMUR,KAB. MALANG,MA
853,50102779,SMAN 2 AMLAPURA,BALI,KAB. KARANG ASEM,SMA
854,20219144,SMKN 4 BANDUNG,JAWA BARAT,KOTA BANDUNG,SMK
855,20525861,SMAN 1 ROGOJAMPI,JAWA TIMUR,KAB. BANYUWANGI,SMA
856,20315695,SMA NEGERI 1 LASEM,JAWA TENGAH,KAB. REMBANG,SMA
857,20220321,SMAS KOSGORO,JAWA BARAT,KOTA BOGOR,SMA
858,20330282,SMAN 1 KARANGANYAR,JAWA TENGAH,KAB. KEBUMEN,SMA
859,20504487,SMAN 1 PADANGAN,JAWA TIMUR,KAB. BOJONEGORO,SMA
860,20305011,SMAN 1 KLIRONG,JAWA TENGAH,KAB. KEBUMEN,SMA
861,50101705,SMAN 1 KUTA,BALI,KAB. BADUNG,SMA
862,20229174,SMA PUTRA BANGSA,JAWA BARAT,KOTA DEPOK,SMA
863,20177959,MAN 2 JAKARTA,DKI JAKARTA,KOTA JAKARTA TIMUR,MA
864,20220338,SMAN 9 BOGOR,JAWA BARAT,KOTA BOGOR,SMA
865,20308445,SMAN 1 NGEMPLAK,JAWA TENGAH,KAB. BOYOLALI,SMA
866,20510134,SMAN 1 BADEGAN,JAWA TIMUR,KAB. PONOROGO,SMA
867,20303942,SMKN 1 BAWANG,JAWA TENGAH,KAB. BANJARNEGARA,SMK
868,20517731,SMAN 1 NGANTANG,JAWA TIMUR,KAB. MALANG,SMA
869,20220327,SMAS INSAN KAMIL,JAWA BARAT,KOTA BOGOR,SMA
870,20318318,SMK NEGERI 3 JEPARA,JAWA TENGAH,KAB. JEPARA,SMK
871,20306173,SMAN 5 PURWOREJO,JAWA TENGAH,KAB. PURWOREJO,SMA
872,20109246,SMKN 62 JAKARTA,DKI JAKARTA,KOTA JAKARTA SELATAN,SMK
873,10404013,SMA NEGERI 2 PEKANBARU,RIAU,KOTA PEKANBARU,SMA
874,20363271,MAS ALI MAKSUM,DI YOGYAKARTA,KAB. BANTUL,MA
